	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
CDC16	69.1977	57.2192	41.7847	59.6214
FAM3D	0.286	0.8527	39.8195	0.3071
RGL2	140.7285	42.3961	46.1329	63.6785
IRF7	115.0292	24.9055	62.0611	47.9243
CCL20	0.4084	16.9262	50.6567	18.1185
OGT	257.2429	52.1888	34.9725	47.5092
H6PD	53.3391	113.149	50.4153	96.9532
API5	68.4792	62.6306	37.2733	57.2824
POLR2H	36.7711	30.1356	42.2602	49.208
SAMD1	47.0024	47.7797	47.1775	81.1632
MYEOV	0.3226	0.2159	23.1781	0.3776
SLCO2A1	29.0928	114.8263	49.1257	49.8862
RPL22L1	60.1205	36.929	38.9728	47.1138
SDHD	56.8616	59.0576	45.5871	50.3558
UCHL1	6.573	69.2918	94.9839	34.9967
FKBP5	154.1521	60.6711	41.5856	29.3671
POLR2C	48.6266	39.5402	39.0584	40.4573
MAT2B	90.8186	64.0743	35.3048	57.0051
MRPL55	53.6453	34.9828	47.3072	46.1606
CIAO1	82.3597	51.5991	46.7195	54.0963
ENDOD1	54.7434	39.0789	31.1218	26.7353
SYVN1	142.2545	36.8616	38.6427	42.8193
CEMIP2	51.1987	54.2401	70.8451	40.0592
ATP5MPL	45.2297	39.1982	44.1328	41.5299
STEAP1	1.9273	21.4781	43.4711	10.7811
SNX6	53.6359	66.773	44.7831	54.325
STMN1	43.7345	48.2943	55.4144	70.853
ELAPOR1	4.2076	23.1246	3.6428	24.7048
CD4	207.655	109.7282	107.2083	85.4951
OTUB1	48.7788	43.7309	44.6858	58.2737
CPD	13.4693	36.179	29.8341	25.4614
ABL1	43.3158	70.97	68.8311	64.3143
FBLN5	114.122	70.8782	63.0258	30.9122
UGP2	45.1745	64.7668	57.9538	47.8351
NBEAL2	74.9764	49.317	33.2577	50.9749
RNPS1	60.6015	36.3084	47.0395	49.2173
SRPRB	25.3896	41.917	40.5652	43.7605
ACP2	40.1167	72.2669	85.5835	75.108
LOXL1	7.4659	77.5982	111.6411	51.3296
AMIGO2	32.0451	28.712	47.9234	24.104
C20orf27	65.3872	49.8534	68.8093	53.5085
CCDC6	50.9591	67.6639	30.0845	73.4068
RAMP2	43.0347	59.8981	74.1819	60.6872
CTDNEP1	69.8849	50.9356	71.6811	58.1602
ERLIN1	33.5633	43.7895	40.3949	36.5012
EHD1	108.0353	20.0381	64.218	31.1115
CDC123	55.5199	54.9077	40.6843	52.698
TMEM181	33.4874	51.4711	34.0245	43.9314
ACKR3	33.3333	48.396	100.5498	47.0432
CAPZB	50.7963	58.3819	64.1508	66.9495
SLC39A13	33.5087	58.1649	65.6949	78.1045
TCTN3	32.3148	65.3024	45.5208	50.9763
GSPT1	44.2213	46.0095	43.0152	42.2972
GTPBP6	84.2698	54.9864	62.5593	65.5958
OSBP	36.1655	51.8181	28.0746	45.3363
GRB7	0.6205	38.9495	30.4589	56.8983
STYXL1	35.7202	33.7013	43.393	44.6111
RHOT2	115.5948	39.6627	50.0294	61.5146
LAMP5	2.1404	156.1192	125.3688	135.0353
FAM107B	73.5428	61.5765	40.7808	51.2022
USP22	67.0852	78.7196	41.977	65.5453
TRAF4	26.1914	23.3849	34.0247	45.6829
GOLPH3L	25.1585	42.6112	23.1211	37.7707
TWF1	19.101	47.0666	34.9719	44.2395
PUM1	54.8596	64.7893	37.3956	53.4253
FBXO32	17.9822	96.9614	71.0704	56.2747
VEGFA	30.718	29.8257	74.5814	30.6829
URM1	54.5432	47.9596	45.8191	53.1241
GMPR2	63.7247	62.0361	45.5043	51.3779
ADAMTS2	11.4713	79.966	86.5453	50.9839
SUCLG1	40.2845	63.118	48.9014	59.5331
TXNDC11	41.4192	54.0241	42.5878	51.9897
LSM10	83.0504	46.265	63.5657	54.7132
CRYZ	26.3837	74.8866	32.1975	74.7341
SPI1	165.5618	100.4526	216.4199	109.0154
CHID1	38.4877	49.0521	51.0347	47.1053
COX7A2L	48.943	54.6505	44.8152	51.0816
CNDP2	75.663	108.7741	55.2725	107.4982
IL18	48.4414	41.8499	39.4292	91.6971
ZDHHC12	30.9137	31.5797	47.2179	51.3617
C14orf119	35.5146	48.1119	45.2831	50.7336
SCG3	0.2346	27.8757	5.4306	8.4516
GSTA1	0	109.7792	23.4766	302.9135
GPBP1L1	53.9209	57.8903	38.2267	54.9121
VPS29	83.1119	55.9251	48.4839	52.9789
ARFGAP2	77.1055	55.3819	36.2014	57.4933
CRYBA2	0	15.4857	1.8638	4.0614
HEXIM1	48.7662	39.7483	43.727	52.2572
SIGIRR	91.5022	33.6628	37.8742	50.0668
TECR	25.7899	39.9098	40.6394	51.0048
MRPL10	57.2515	44.722	37.6543	52.3831
GBP3	23.2045	37.7067	51.576	49.8721
BTBD1	51.0014	58.7399	43.1529	52.3209
SLC44A1	10.4665	48.4802	45.4675	31.8712
ADSS2	42.4827	42.7636	36.0168	33.6695
MPC1	53.5936	64.7245	49.9052	68.7485
PWP1	53.7919	57.2586	43.4493	55.2989
TOR4A	28.9833	19.4334	36.3775	32.3064
NME4	40.2161	38.3687	55.2738	61.1113
ZMYND11	54.1535	72.898	37.2918	58.2221
CAV2	21.601	50.8177	54.4709	52.8635
NDN	47.2277	75.8394	71.888	73.8418
RND3	41.3728	37.6156	64.8546	40.7815
TDP2	58.7875	57.6573	42.1542	50.5756
GLT8D1	37.9292	64.2032	44.1409	54.0568
PLPP2	0.6415	50.9651	34.2105	60.0722
AAR2	45.7012	56.6	45.0598	57.7056
GLRX5	32.8664	49.2093	44.5737	51.0953
ERI3	34.826	57.3381	44.3057	54.8991
STX4	59.4872	47.4585	84.6841	57.7584
MLLT1	49.9013	49.2865	56.3295	57.9905
NECAP2	90.8484	60.4789	68.4618	80.9343
C6orf89	47.9168	64.6545	35.4618	54.8434
KLK10	0.1714	0.2434	48.8934	1.3806
NRDC	62.086	55.4621	45.6053	45.2096
TRIAP1	40.6633	53.1469	41.5625	55.3296
GLTP	47.6473	51.3778	51.0332	69.2879
KANK2	32.0934	69.9641	51.4141	46.0683
TMEM179B	34.0063	48.132	42.3734	44.6035
PAK1	29.8235	46.0578	33.2512	47.0408
SH3BP4	6.9695	64.9333	39.8459	63.3537
FTSJ1	40.8296	35.1631	50.1163	39.8184
KLF3	32.8101	44.6678	30.1288	37.319
TRIM26	74.848	54.3551	35.3315	52.5395
SKI	46.6094	60.7109	68.4391	44.4107
MPDU1	38.0446	58.3357	52.9809	68.3045
SMIM30	38.3471	65.7987	42.893	68.2823
BAZ1B	58.5347	49.6396	37.9128	41.9335
RHPN2	3.4836	30.4199	36.0645	33.1189
PSMA5	41.2251	43.8895	41.4186	48.9308
TMEM98	8.695	67.0518	51.4068	73.9237
SSBP3	36.1684	54.1262	51.9862	50.1102
SYF2	60.9265	61.7243	44.2759	54.553
MPC2	19.7052	49.3858	38.3192	38.7125
MIEN1	23.9213	32.5881	36.112	41.3904
PLPP1	34.4574	72.135	86.8928	43.1421
NEK6	57.0579	65.3066	70.3668	48.9469
TXNRD1	34.0646	47.2177	44.1441	35.562
SEC23B	37.2224	54.903	39.9891	46.4305
LRRFIP1	41.2757	45.0546	51.6456	41.5837
LAGE3	43.5072	37.1968	47.6511	41.1328
SCTR	0.354	123.1435	39.2292	190.9301
NHP2	44.6801	36.3402	42.8343	36.3335
DDX42	76.6437	52.0445	41.9069	49.6295
METAP2	45.0361	61.5944	42.5715	54.7641
HACD3	20.3575	46.7874	30.4295	38.025
PRKAA1	45.086	50.6697	35.0092	38.413
ECSIT	43.1592	43.962	44.5649	56.5471
WBP11	64.4469	54.4334	37.1093	51.5559
SPAG7	61.0677	67.5137	56.0257	72.8865
ALCAM	22.9273	66.2478	41.9401	41.0065
BET1L	49.0683	43.6141	36.1948	44.5416
CYFIP1	25.4937	80.3917	51.8018	64.8404
TRABD	55.6477	32.9612	48.3929	49.6216
TMEM167B	58.1166	66.7124	40.2694	49.0444
SAMD4B	32.64	38.5636	46.7185	41.1141
VNN1	5.8406	62.2721	25.0215	67.8069
PJA1	34.4184	53.9966	45.5398	57.3982
ARPC5L	61.5394	28.9829	41.2606	35.4363
PRCC	47.0555	41.5386	35.9887	50.2121
CBFB	49.2544	47.7391	45.1497	47.4477
DDX50	60.8396	54.3082	46.0487	47.8171
CRKL	67.594	46.2017	41.1455	38.0005
MFAP1	45.0358	60.9422	42.6395	54.5911
FOSL1	1.0842	4.5925	79.6539	5.0723
CFAP36	23.48	49.7431	45.8917	48.769
CIAO2A	63.0369	66.9766	43.1983	66.9894
MFSD5	42.3377	45.9193	47.3768	58.4836
MCU	11.9189	22.2658	45.288	20.2889
KIAA0040	67.7687	59.422	49.8063	46.8967
ATXN10	45.3623	61.0867	37.5286	59.6914
CLCN3	21.1803	60.7272	25.0545	42.1073
SRP72	54.7509	49.8951	35.9894	44.1412
THYN1	52.0034	53.4114	41.3375	58.2102
NABP2	36.7995	41.3682	37.8261	47.1928
RBBP7	54.5408	54.5072	41.9346	50.4371
ETFA	38.394	42.7936	50.2318	41.7888
RIC8A	47.7687	46.8758	48.0718	56.0388
KDM1A	41.6412	47.7695	40.1799	52.6921
ISYNA1	34.5693	45.412	41.3457	61.4055
ATXN7L3B	63.0963	56.0396	28.8826	44.8804
LMO7	4.2266	22.5996	52.5599	18.0573
SORBS3	34.6679	50.0889	69.5543	64.9516
DGAT1	36.5574	23.0619	36.0404	30.5843
PCED1A	138.1649	37.4284	52.6307	56.5392
ADAM9	10.2058	51.5245	40.3476	45.7804
BTBD6	55.7873	49.8757	49.4592	57.5514
OSMR	18.0306	42.529	56.249	54.0753
BMP4	3.4241	18.7914	40.6215	13.4685
PSMD10	40.3483	51.8513	40.5366	43.8787
PACS1	82.807	63.4866	53.3214	95.2109
PFN2	15.2939	63.3502	30.3617	37.5872
PSMA4	48.211	52.5696	42.4582	57.2521
SCARB2	21.4563	68.5021	49.5857	56.6587
DHX15	59.7625	50.0621	37.1449	42.2369
PSMB10	95.2222	49.8147	50.2018	45.6589
PSME3IP1	87.0233	49.3874	40.1606	52.4426
SPRR1A	0	0.214	40.4273	0.9248
RPS19BP1	45.6215	43.3342	50.7233	65.1506
BPNT2	28.4382	54.8998	44.4478	43.292
LAMA5	32.971	51.1963	34.9068	68.2161
CTDSPL	20.5576	49.3181	26.2028	40.6378
TCN2	44.8252	62.4152	46.0333	35.5774
SH3GLB2	59.5163	32.0365	32.7889	51.6996
PPP1R13L	6.917	33.2302	41.652	55.6524
CAPZA2	34.3163	60.2523	51.8608	47.006
PPP3CA	42.7766	42.1029	34.7766	34.1351
GOLGB1	40.8255	50.3238	33.9587	39.872
MYC	105.3257	18.6277	99.6699	28.7421
RRP36	43.044	45.3715	41.1757	50.1392
DNAJA2	48.515	45.2294	43.2583	42.4473
NFIX	14.1186	80.0752	50.4556	52.4215
CSF1R	158.1636	156.3962	80.9989	95.5913
INAVA	0.4875	24.6628	17.9744	27.4266
NUB1	71.8877	50.7589	35.7343	51.7901
MARCHF2	54.2172	63.9787	84.3184	71.6998
CPQ	30.8261	71.9066	61.6716	64.2
ATP6V1A	48.6589	62.3473	50.1855	54.7114
HYAL2	128.939	46.8619	64.0249	53.6545
CD163	124.0636	116.9284	59.6477	36.6414
SIRPA	38.8513	101.8295	124.9267	92.1125
CRAT	19.9512	48.1549	39.7918	55.669
TMEM97	7.4292	55.2884	17.6611	120.7962
PDLIM5	16.653	70.3391	57.802	56.6702
TRAPPC3	43.1606	51.5164	47.4793	55.9038
PITPNB	39.7241	50.4858	42.841	50.2887
BIRC2	58.1506	57.8375	37.863	58.4192
EIF2A	45.5431	46.9528	32.9515	48.0354
EGFL7	101.2972	34.9707	91.7539	49.6006
PCYOX1	24.4531	71.4487	36.6619	47.0796
SERPINB6	41.0119	41.0906	39.0627	55.9555
ATP6V1B2	54.3376	90.747	100.5875	64.9233
CYBB	301.9734	134.5236	81.9767	83.2493
TMEM250	40.3019	40.4992	44.502	52.6295
NBDY	31.1704	39.5148	48.562	43.5747
PTPN11	41.2694	58.867	37.0628	48.626
YKT6	38.562	42.8321	48.1544	46.8421
PPARD	45.1501	63.9827	78.1108	92.586
SLC22A17	9.26	20.0682	21.2362	16.2258
SPATA20	30.5965	33.5363	52.0707	57.4674
AARS1	31.2332	47.7727	39.9587	46.2607
EBPL	27.8379	41.7008	31.0738	53.086
CDC42SE2	146.0792	55.9899	29.3969	48.5096
SEMA3B	3.9015	15.5753	49.8372	54.0102
OAS1	59.2907	22.6486	37.5044	20.5225
NFKBIB	35.8923	33.8588	54.4071	48.563
FLYWCH2	43.8548	45.9858	60.0448	55.9845
NR2F2	54.5228	66.2845	33.2496	49.0694
IRF2	104.6233	53.6524	36.2175	54.4386
WFS1	27.7553	20.4826	32.9297	17.8338
H2BC21	9.367	8.5844	16.8412	8.3837
DRAM2	146.4726	59.6323	52.8388	52.3126
RAB5A	28.5616	51.9917	42.7806	48.9616
MAN2B1	72.1404	70.5992	107.3732	77.949
RNF13	40.2366	66.8287	50.72	52.5285
CDC25B	82.1492	27.3735	40.5464	43.0621
NDUFA2	42.5844	41.5861	48.5253	47.0359
TMEM126A	37.2542	45.5764	42.7312	43.2866
OGFR	81.5013	34.6126	57.834	54.5015
TOM1	27.1417	57.3209	74.2202	65.5178
LUC7L3	161.7183	56.9855	30.0238	50.996
SMAD3	49.4561	37.2278	45.7651	45.005
MBNL1	136.8856	65.3735	47.7344	47.2769
UBA7	207.5044	48.4156	44.5675	55.2796
SCRIB	34.8754	27.264	36.2972	44.1047
FUT2	1.5952	6.7668	22.6593	21.6876
HNRNPR	54.9895	59.4929	42.4746	43.8432
BOP1	39.027	24.9987	45.0629	37.6606
CACFD1	16.7491	46.2354	30.5281	61.9498
EFR3A	50.8661	60.1156	38.6944	40.271
NFIC	27.3349	70.6772	46.4849	65.983
PEPD	59.2596	62.9226	72.5979	59.3971
ESAM	28.5026	46.1003	69.9567	58.1187
NDUFS8	31.3331	37.0171	54.112	50.4387
DARS1	58.0807	54.2601	42.7015	54.5236
ATP6V0D1	50.6689	62.3568	63.3585	63.1269
ATP2C1	26.4551	69.2131	40.304	61.3811
MED10	58.3693	42.2765	42.337	50.2775
EEF1A2	0.5395	11.277	9.9743	9.3647
NSMF	37.4048	38.026	60.059	48.0077
PDPN	0.4766	49.7474	72.0039	21.9583
PDLIM4	12.3911	40.79	93.2509	83.4406
BOD1	42.0528	48.8147	38.1609	47.6848
GNPTG	43.4067	46.3432	66.1745	51.7394
RAB35	58.3223	52.2379	49.9285	47.2909
SLC35F6	32.0061	49.4971	52.907	56.4823
TMUB2	59.8717	40.1098	48.3118	45.1944
GDE1	20.0388	59.5504	41.6359	49.0092
SLC27A4	17.337	41.2951	41.3209	48.6133
MINK1	65.9514	52.3379	63.1856	52.1393
VAMP7	51.3855	70.3227	54.0305	55.6354
PODN	5.3339	73.2225	46.2639	25.7217
CHIC2	28.8101	54.5406	59.3846	44.1465
CYP3A5	2.1882	16.9667	28.7088	13.5905
SKIL	22.5847	62.8592	44.1441	59.8826
AK3	38.0854	66.4102	46.926	58.0434
GTF3C5	51.4665	41.9953	40.2783	55.4946
HUWE1	61.9945	55.9686	33.2843	42.2497
NAPRT	25.0425	15.3751	23.9454	6.1902
MRPL44	54.8921	44.7755	41.2645	50.8548
GBA2	61.5105	33.4277	30.7015	39.2844
UNC50	55.0027	53.2658	38.3679	46.8777
EPB41L1	4.4497	36.3982	42.9234	29.5125
SQOR	23.9356	37.3241	54.7958	43.4971
PLXND1	45.7515	61.7817	77.58	57.5654
NSA2	79.5921	63.1645	45.6492	45.9931
CNP	32.8664	57.5165	49.5974	68.1516
SRPX	3.3696	34.3967	73.0861	21.8652
ESRRA	31.8769	34.2618	37.3859	44.5541
TSSC4	47.7724	36.0461	50.3062	49.5814
NEU1	23.3781	68.9306	53.6642	62.0645
ATXN7L3	61.1174	41.8726	43.7914	51.5617
CD58	30.5976	44.4961	48.7579	38.536
BX255925.3	45.4248	22.5348	28.1838	44.3605
EIF1AX	48.2445	54.724	30.0742	36.6937
MRPL58	35.5853	40.8275	35.7956	53.4086
TGFB3	8.4392	172.2703	83.0236	109.8583
LY6D	1.7382	0.1543	0.9957	0
ATP5MF	29.1199	32.6028	45.994	26.2586
PARP10	124.4822	35.2599	49.1764	51.624
UNC5B	20.7977	63.2293	45.5683	44.821
USP7	73.9793	43.0673	36.3871	42.6721
MYO1E	23.9215	57.2454	55.5107	38.4747
SEC16A	55.2357	41.0932	37.5519	41.4441
RAPGEF1	137.615	62.023	72.8614	52.8243
ATL3	28.5338	44.6986	38.2966	44.4078
TMEM258	26.4613	41.8025	40.3881	38.1855
ST3GAL1	50.1832	42.0902	40.2097	29.8809
PPP6C	65.1549	56.8375	41.6428	51.6092
CX3CL1	5.8666	83.1224	40.8946	125.5577
MOB3A	156.4146	52.756	50.4759	61.0021
TIMM17A	34.0492	38.3015	39.9935	38.4085
CXCL9	117.3764	88.3032	4.9111	43.4088
C15orf48	0.6177	18.931	46.6326	48.7097
PCSK2	0.3704	15.0989	2.4982	4.8785
MOAP1	56.5157	55.3065	31.0973	45.0543
MRTO4	42.3847	37.3404	44.5086	43.9271
C1orf122	17.8397	36.3578	51.7521	45.5137
GBA	24.2421	48.1606	39.8087	44.4899
KDM5C	82.9968	53.1661	38.6026	38.1293
CEBPG	27.1226	29.2857	33.7148	29.3645
TGFBR1	34.3914	96.713	54.3313	71.2008
TIMM17B	39.1277	29.4506	40.1968	43.0771
HIGD1A	16.7287	44.8969	41.768	46.9822
MEF2D	49.8416	47.4852	42.0384	35.4885
PYCARD	50.1931	41.4857	65.2652	59.3141
HPS1	89.0272	53.9592	43.8554	68.0476
AKIRIN2	115.3763	50.846	52.4179	53.8856
ALDH3B1	14.7782	16.6886	25.3345	17.7113
CPNE3	53.2663	54.2492	30.4117	37.1985
AKAP12	17.1889	46.298	87.4838	22.1758
TNFRSF14	145.237	32.0872	44.9475	41.2471
PTPRK	16.3693	76.0834	23.459	61.2399
PPCS	50.5023	53.3035	35.0313	51.4213
COG4	61.3267	42.8258	39.5071	49.1966
SLC2A3	25.2277	24.7425	171.7772	19.2893
DYNC1I2	26.3667	64.9674	41.0283	51.8297
SPNS2	22.1507	53.3711	41.9984	46.9961
POLR2B	70.4818	60.1667	30.5554	50.2264
SPATS2L	9.2787	59.1002	36.5158	39.5012
MSRB2	22.1319	56.0221	46.8655	53.7485
TOLLIP	37.5355	36.9547	39.5702	45.9207
SDF2	25.1798	47.4345	43.4258	43.9336
SMIM20	41.8809	52.577	36.5484	50.6507
MBTPS1	46.4235	49.7718	40.788	44.7098
HDGFL2	35.7126	40.3985	55.3484	55.8688
TBCC	91.1968	49.4638	35.2496	55.6596
GNAQ	22.461	60.1105	41.717	44.528
CERK	52.8525	58.6292	39.2757	59.5612
SGCB	15.9183	55.3079	37.0879	40.7366
LMNB2	32.0774	29.3741	45.0391	34.9428
PRRC2C	67.1275	53.4487	32.2125	33.1735
PTPN6	343.0614	49.6307	69.2998	51.5932
TMEM205	33.8731	36.3334	42.0884	42.1852
CXCL13	772.6567	4.6833	5.9696	7.4448
TMEM165	29.4755	46.7977	49.7514	49.8343
CDC42	44.7135	60.5953	50.1587	55.3181
FASN	19.1949	32.2122	61.4184	38.7801
BAK1	36.1121	25.0997	46.649	36.9494
ATF3	4.9949	25.2403	156.8738	25.855
HBEGF	4.1364	13.7382	168.065	12.6376
TRAK1	38.776	29.4834	35.9987	26.1429
PLXNB1	17.8406	50.5047	30.463	70.2362
SHC2	28.2059	67.8572	41.2922	122.8408
WDTC1	63.2111	57.7444	44.7204	69.5158
SAFB	69.7438	39.4957	45.8471	52.226
CRB3	0.6974	32.606	35.6784	48.3776
WRNIP1	39.7445	40.4031	35.2901	46.8464
PRPS2	45.1135	53.5632	36.6027	74.6297
SUPT6H	59.6552	41.9778	42.2992	42.6369
NT5E	58.6301	10.1961	20.1762	8.648
TRIP12	64.8605	50.3716	37.6055	39.5622
CRIM1	52.4693	52.9579	45.304	45.977
TARDBP	72.4765	45.767	42.7161	51.8291
EMC10	20.0362	43.7079	45.2487	47.8212
CLNS1A	48.6578	40.4202	32.5149	42.024
GIMAP4	223.6852	83.5641	48.1591	68.7969
EIF5B	31.3322	52.0367	37.8597	36.5727
SDC3	128.938	82.4451	50.9944	55.2866
INTS1	78.6601	38.3123	43.8549	47.6623
CHST14	35.2727	60.005	49.4999	58.089
CALCOCO2	51.8102	41.6377	32.7596	34.1422
FRZB	128.9612	57.1165	25.5815	35.0028
PRPF31	49.6791	34.1931	48.3434	50.6917
WDR18	38.1254	32.6448	45.9704	50.8569
MARCO	23.8853	26.2608	321.4099	9.6081
RELB	67.8938	50.054	77.6433	94.5448
MFAP2	0.9258	87.9175	85.0717	62.2079
COMT	23.7018	40.0171	47.0427	60.4142
PLEKHO2	139.7	79.5573	99.2273	75.9832
HCLS1	355.0776	87.5511	80.457	69.4866
FERMT1	0.8445	9.4322	29.6238	9.0188
TOMM40	28.4385	25.7181	48.6413	34.3527
NSDHL	19.3345	42.1146	37.4652	43.6167
SRSF8	68.4971	56.4685	31.8453	51.5334
CPT1A	50.3098	34.3864	39.6714	19.2908
PELI1	45.1434	39.0477	41.7457	34.3419
GPS1	52.3655	41.3099	44.3244	53.6568
TMEM87B	35.6343	70.0103	35.8927	74.815
NIPSNAP1	40.9002	53.784	26.2508	58.5374
TOR1AIP1	51.966	55.9637	32.4826	36.9499
ANAPC11	26.3942	34.8479	52.1065	41.2328
PCMT1	41.8003	55.3461	39.3809	48.6392
ALAD	27.7001	62.8676	41.5148	61.9893
TNFAIP3	123.6559	108.2237	86.187	94.4436
SMARCA1	9.8896	69.9032	40.2775	54.3487
GPBP1	69.0398	47.5258	35.25	46.0133
VPS51	63.4745	38.8078	44.9991	53.8609
PHF23	43.0083	44.012	57.9987	66.3894
SETD3	30.4653	42.5783	44.1873	42.6744
SMIM29	43.9543	39.94	42.5823	50.1791
SKAP2	60.416	42.7403	44.0348	25.9736
CXCL12	181.959	43.7605	51.8995	43.2792
PRKD2	97.3754	26.7142	41.2003	46.0823
DKC1	58.6094	39.5193	29.616	36.1199
ZG16B	1.8145	3.1217	21.1406	1.1555
GNA13	84.229	62.7956	62.9585	42.2428
NCBP2	60.0052	40.9198	38.8399	44.294
RBM22	64.7857	49.2534	37.0457	50.328
PLAC8	102.5684	6.4837	23.0586	3.2308
COQ10B	27.2621	35.7424	45.356	29.9959
MFAP5	0.5978	53.5547	87.4968	7.6189
EBNA1BP2	29.6654	37.4288	36.0215	44.0109
LY96	81.6797	99.5279	96.4203	67.7456
TNS3	61.1434	90.1916	53.6259	57.7745
RPL26	73.2366	37.4269	43.7014	16.2023
AOC3	42.6726	41.568	113.8049	30.3559
SLC35A2	13.657	27.2747	30.6129	34.4033
HIP1R	77.2126	59.767	25.75	90.3623
SH3KBP1	81.5629	40.4126	35.7236	29.9958
ACVR1	11.6447	66.904	44.1894	46.6127
SLC6A14	0	1.5029	36.4097	2.9175
UBQLN2	48.7319	47.205	36.6317	39.5158
SURF2	34.1621	34.3519	29.9286	45.4059
RAB4A	23.9081	54.4574	31.6456	47.7003
DEK	62.9224	51.5094	32.2199	46.7876
MDFI	0.4035	19.896	55.067	46.0968
SPCS2	35.8691	44.1628	39.4197	39.6627
NUDT21	60.3897	47.4368	33.4414	36.8291
TMPRSS2	0.1411	30.8027	29.8601	41.0909
NEK7	41.2274	38.8654	39.1445	33.4203
TCTA	46.3097	58.2154	32.7017	41.0546
MRPL16	55.7009	42.1333	39.8606	49.3174
SNX4	30.4593	59.2671	36.7528	56.1835
CDK16	29.8724	37.1358	39.9144	46.5789
DDIT3	18.9968	34.2576	23.187	25.7906
TM7SF3	25.5288	58.6554	22.8989	52.1399
PROCR	23.289	39.7641	71.9124	64.2006
NTN4	120.2395	81.9685	19.3995	99.8192
PLPBP	40.594	44.641	36.1639	50.2491
C1RL	38.717	77.4648	32.857	89.198
PIK3AP1	182.6647	175.3729	42.3972	105.6768
SCGB2A1	0	21.9985	6.1278	9.4434
RASA3	63.8186	37.2051	47.3091	30.3812
SORT1	12.043	74.871	48.9891	62.8855
CASP3	48.7252	44.1822	40.7159	45.4767
HS6ST1	26.3421	88.2054	36.4476	83.8662
TMEM63A	36.5678	45.1696	25.4879	40.3205
LSM14B	50.7778	39.7248	34.9728	36.3778
BZW1	25.7639	37.1796	44.8964	34.0848
NRAS	49.2474	60.5916	38.616	57.7956
DUS1L	69.2904	29.1999	37.5208	51.2368
RNF113A	76.5945	37.5827	39.2029	40.7227
PGAM1	35.5126	30.5928	53.1969	42.1067
TNPO3	55.982	46.9133	37.364	42.4161
C4orf48	10.5046	20.1138	53.8613	22.6571
AATF	42.8946	34.5147	42.0095	36.3807
NSMCE1	37.3457	44.3986	46.2181	42.4041
PAIP1	22.7612	53.1225	38.3872	58.2686
RPS6KA1	78.6416	45.0584	48.1057	55.7179
ZDHHC9	5.7643	26.6995	36.4526	31.7174
PODXL2	4.532	32.1673	18.6716	43.0502
MX1	105.2417	25.6012	30.2082	31.0665
CMTM7	44.7229	45.6108	37.2849	48.2083
TP53I11	34.0695	37.2285	53.8687	59.0601
XAB2	68.7096	35.8463	49.1032	46.6147
EPS8	6.958	36.1255	36.9313	24.014
CTSF	28.1448	44.3127	52.8466	30.303
ZNF524	40.2685	31.0318	39.8504	42.1639
ADI1	34.5895	48.4003	35.5334	42.1597
BPNT1	38.296	28.1538	21.8224	34.0354
NOXA1	28.2633	18.1791	26.2624	55.4042
DHCR7	11.5309	45.7451	26.8327	49.3
TAB2	61.0994	62.1541	36.0739	41.8541
TIPRL	38.1774	46.6578	33.239	40.8837
VPS35	35.1788	50.9237	34.9192	47.0837
NISCH	72.3246	55.4148	41.1932	40.6783
GNA12	56.7598	46.5139	61.4847	42.1395
CORO1A	511.3865	60.7476	42.0205	71.3353
ZBTB7A	33.3749	32.1098	38.2844	33.5885
STX16	90.165	33.5493	35.8732	41.7539
THOC6	39.3965	40.0067	53.5454	52.2651
EDIL3	4.4061	28.3562	38.3972	13.0454
UCN3	0	12.7818	14.6722	4.4863
GIT1	43.7473	32.2817	42.0104	46.3586
PADI1	0.2276	0.1768	12.1961	0.1528
NXF1	109.7014	57.5965	45.7747	74.0124
PPP6R2	73.851	38.4942	37.1371	47.4579
ACTR10	31.381	50.307	40.101	48.4669
SEPTIN10	28.5253	43.3948	41.5141	43.1717
TCF3	90.3196	37.5861	45.1315	55.8285
CASC3	65.4797	51.9764	35.5489	50.5028
SLC44A3	0.6807	64.8016	29.1843	80.3583
XPO6	116.9816	39.6123	42.1005	38.6606
SNX7	7.918	48.2146	29.2575	55.8895
RPIA	59.9599	33.619	37.6569	41.4086
PIEZO1	57.7204	51.9513	55.5132	64.7224
BTBD2	53.9239	41.904	45.1526	48.4037
SMARCA5	52.1466	50.3197	34.215	44.241
WDR13	32.8755	42.8386	41.3916	60.9954
TRIM21	76.0754	52.0113	36.4039	60.5624
NDRG3	47.1805	53.609	34.0235	43.1215
GPR107	31.1872	51.7681	31.7733	37.9404
ARSA	62.6832	29.2527	62.5405	69.0288
TBC1D9B	53.2616	50.988	43.0014	47.367
NES	114.6197	69.2911	51.7613	89.7775
TOR1B	25.0153	34.2032	31.0184	25.5389
TFRC	32.1188	26.8929	61.891	16.9899
TUBB2A	7.4479	33.3157	62.5613	56.4233
SMARCC1	51.6187	57.0917	31.8712	53.0561
ALG2	30.3084	41.6866	34.7661	41.0267
ERO1B	13.1422	49.0398	12.0063	28.7165
BCKDK	29.0764	45.5417	62.0557	56.6903
WBP1L	36.9806	58.3712	56.9696	46.4976
CLSTN3	56.8175	54.6919	41.4239	54.5387
